title	genre	imdb_rating	summary	plot
Мэнсфилд-парк (фильм, 2007)	драма любовная история	6.2	«Мэ́нсфилд-парк» (англ. Mansfield Park) — телефильм 2007 года по одноимённому роману Джейн Остин, третья экранизация произведения.	Десятилетнюю Фанни Прайс посылают жить к богатой родне в поместье Мэнсфилд-парк. Дети Бертрамов ведут себя эгоистично по отношению к обедневшей родственнице. Фанни чувствует себя одинокой и не понятой, лишь один Эдмунд становится ей другом. В гости к соседям приезжают Кроуфорды: повеса Генри и лицемерная Мэри. Эдмунд влюбляется в Мэри, а та лишь желает заполучить его состояние.
Молодость без молодости	драма	6.1	«Молодость без молодости» (другие названия «Вторая молодость», «Человек без возраста», англ. Youth Without Youth) — драматический художественный фильм, поставленный режиссёром Фрэнсисом Фордом Копполой по мотивам одноимённой повести румынского писателя Мирчи Элиаде. Премьера фильма состоялась 20 октября 2007 года на кинофестивале в Риме.	Румыния, 1938 год. Семидесятилетний профессор лингвистики и философии Доминик Матей пытается покончить жизнь самоубийством — любовь всей его жизни мертва, а труд всей его жизни по происхождению языков невозможно завершить. Внезапно поражённый молнией Доминик, выздоравливая, молодеет к удивлению румынских врачей во главе с профессором Станчулеску. Узнав об этом феномене, нацисты стремятся завладеть Домиником и провести над ним ряд экспериментов для создания новой человеческой расы. Матей уезжает в Швейцарию, где обретает новую любовь.
Замужем за мафией (фильм, 2002)	комедия боевик мелодрама	6.0	«Замужем за мафией» (кор. 가문의 영광, камуни ёнъкванъ) — южнокорейская криминальная мелодраматическая комедия. Премьера состоялась 13 сентября 2002 года. На показ фильма было раскуплено 5 200 001 билетов - таким образом, фильм занимает 14 позицию по продаже билетов в Южной Корее.	Успешный сотрудник компании и выпускник престижного вуза Тэсо (Чон Чунхо) просыпается в кровати с незнакомкой по имени Чингён (Ким Чонын), у которой, как выясняется, члены семьи является мафиози. Узнав о случившемся, а также  о состоятельности молодого человека, братья и отец Чингён намерены выдать её замуж.
До свидания, овраг (мультфильм)	драма	7.0	«До свидания, овраг!» — советский кукольный мультфильм Вадима Курчевского и Вячеслава Шилобреева. Драматическая история по одноимённой повести Константина Сергиенко.	Художник рисовал картину в своей мастерской и услышал лай собак. Стая бездомных собак жила в овраге за новостройками на краю города. Поблизости была конечная остановка городского автобуса, там регулярно сидел хромой пёс и ждал подачки. Однажды из автобуса вышел человек, вытряхнул из спортивной сумки маленького пёсика и уехал. Пёсик по имени Крошка остался на остановке, там его увидел художник и нарисовал.
Мы должны помогать друг другу	военная трагикомедия	7.6	«Мы должны помогать друг другу» (чешск. Musíme si pomáhat, англ. Divided We Fall) — чешский фильм 2000 года режиссера Яна Гржебейка. Был номинирован на премию Оскар как лучший фильм на иностранном языке.	В оккупированной нацистами Чехословакии семья Чижеков — Йозеф и Мари, рискуя жизнью, укрывают у себя еврейского юношу Давида Винера, сбежавшего из концлагеря в Польше. Мари с одной стороны не упускает возможности обвинить своего мужа в том, что он привел в дом еврея, но с другой стороны, она милосердна и сочувствует несчастному ребенку, запертому в туалете днем и ночью. К паре периодически приходит сослуживец Йозефа Хорст — чешско-немецкий нацистский коллаборационист, женатый на немке. Однажды он пытается изнасиловать Мари. Ситуация усугубляется тем, что Хорст настаивает на том, чтобы Чижеки предоставили жилье его начальнику, убежденному нацистскому бюрократу.
Большие девочки не плачут… они дают сдачи	комедия	6.3	«Большие девочки не плачут… они дают сдачи» (англ. Big Girls Don't Cry… They Get Even) — кинокомедия 1992 года.	Фильм рассказывает историю о молодой девушке Лоре Чартофф, сбежавшей из дома после конфликта с отчимом Кейтом. Она уходит жить в домик к своему сводному брату Джошу, который также ушёл из дома из-за упрямства и воинственного настроя Кейта, его отца. Когда их семейство заявляется туда, Лора снова бежит, думая, что Джош выдал её. В своём странствии она знакомится с множеством колоритных персонажей, включая малолетних грабителей и слишком счастливые семьи. Лору разыскивают двое полицейских и всё её неблагополучное семейство.
Сентиментальный меченосец 2	боевик драма	6.6	«Сентиментальный меченосец 2» или «Возвращение сентиментального меченосца» (кит. 魔劍俠情, англ. Return of the Sentimental Swordsman) — гонконгский фильм режиссёра Чу Юань, вышедший в 1981 году. Фильм основан на романе Гу Луна. Сиквел фильма «Сентиментальный меченосец» (1977).	Фехтовальщик Лэй Чхамфунь возвращается домой после трёх лет путешествий. Он решает жить спокойной жизнью, но группа опытных бойцов и лидеры посланы, чтобы устранить его, поэтому они могут быть причислены к лучшим в знаменитом списке Бай Сяошэна лучших воинов в мире боевых искусств. Чхамфунь сражается с ними, пытаясь найти своего старого друга А Фэя, который женат и живёт в уединении. Чхамфунь находит его и просит объединить усилия в борьбе против новой угрозы, которая хочет править миром: Денежный Клан.
Как ослик счастье искал	сказка	6.4	«Как ослик счастье искал» — советский цветной кукольный мультипликационный фильм, снятый режиссёром Владимиром Дегтярёвым по сценарию Екатерины Каргановой на студии «Союзмультфильм» в 1971 году.	По дорожке бежит весёлый маленький Ослик, неожиданно спотыкается на камне и тут же на него падает яблоко. Сидевшие на ветке птички заголосили: «Ах, какое несчастье!» Ослик задумался, а потом произнёс: «Что такое несчастье — я знаю. А что же такое Счастье? Надо будет спросить». Овечка, у которой Ослик первой спросил, есть ли у неё Счастье, не нашла Счастье в своём сундуке.
История сумасшедшего	драма исторический фильм	6.8	«История сумасшедшего» (фр. Une histoire de fou) — французский драматический фильм 2015 года, соавторством которого является режиссёр и продюсер Робер Гедигян. Фильм основан на реальной истории испанского журналиста Хосе Антонио Гурриарана, который был впал в полупарализованное состояние после взрыва бомбы Армянской секретной армией освобождения Армении в Мадриде в 1980 году. После взрыва он встретился с бойцами данной организации, рассказал о своём опыте в автобиографическом романе «La Bomba» (Бомба), который служит исходным материалом для фильма. Фильм снимался во Франции, Армении и Ливане. Фильм был показан в разделе «Специальные показы» на Каннском кинофестивале 2015 года.	В фильме рассматриваются последствия Геноцида армян, начинающиеся с «операции Немезис» 1920-х годов, включая убийство Талаата-Паши в Германии, продолжается повстанческой деятельностью армян 1972—1986 годов Армянской секретной армии освобождения Армении (АСАЛА) и Бойцами за справедливость в отношении геноцида армян, в основном из Ливана. Действие происходит в 80-е годы XX века. Арам — молодой житель Марселя армянских кровей, взрывает машину турецкого посла в Париже. Проезжавший мимо велосипедист Жиль Тесье оказался серьёзно ранен. Арам пускается в бега и вступает в Армянскую секретную армию освобождения Армении (АСАЛА) в Бейруте, являющуюся в то время колыбелью международного повстанческого движения.
Апелляция (фильм)	драма	6.9	«Апелляция» — советская драма режиссёра Валерия Гурьянова. Киностудия «Ленфильм», 1987 год.	Районным комитетом КПСС снят с должности и исключён из партии колхозный агроном. Не согласившись с этим решением, агроном подаёт апелляцию в более высокую партийную инстанцию. Секретарь областного комитета приезжает в колхоз, чтобы разобраться в этом сложном деле.
Когда деревья были большими	мелодрама	7.7	"«Когда деревья были большими» — советский художественный фильм 1961 года, драма режиссёра Льва Кулиджанова; премьера фильма состоялась в 1962 году.
Фильм стал первой драматической ролью Юрия Никулина. Исполнительница главной женской роли — Инна Гулая, для неё роль в этом фильме стала наиболее значительной в её кинокарьере. Для Людмилы Чурсиной роль в этой картине стала её кинодебютом.
В 1962 году фильм участвовал в основном конкурсном показе Каннского кинофестиваля."	Главный герой, бывший слесарь Кузьма Кузьмич Иорданов живет в Москве, пьянствуя и перебиваясь случайными заработками. Майор милиции взывает к его рабочей совести и предлагает ему хоть завтра выйти на работу слесарем на заводе, а после отказа Иорданова угрожает выслать его из столицы. Желая подзаработать, Иорданов вызывается помочь пожилой женщине доставить до дома стиральную машину, но случайно роняет агрегат в лестничный пролёт, а затем, пытаясь сбежать и оступившись, падает и сам и попадает в больницу. Старушка приходит его навестить. Рассказывая о своей жизни в деревне, она упоминает о девушке Наташе, которую они воспитали всем колхозом (эшелон с эвакуированными разбомбили около их деревни).
Мельницы богов	мелодрама	6.1	«Мельницы богов» — телефильм. Экранизация произведения, автор которого — Сидни Шелдон.	Молодая преподавательница Мэри Эшли получает предложение стать послом США в Румынии, это первый шаг в программе нового президента. У Мэри есть семья — 12-летняя Бет и 10-летний Тим, муж Эдвард Эшли, доктор в местной больнице, с которым они прожили 13 лет. Мэри отказывается, так как Эдвард не хочет бросать свою практику в больнице. Вскоре он погибает в автокатастрофе. Правительство вновь делает предложение Мэри и та, после долгих колебаний, соглашается.
Сердцеедки (фильм)	комедия	6.2	«Сердцеедки» (англ. Heartbreakers) — американская кинокомедия 2001 года, режиссёра Дэвида Миркина.	Макс и Пейдж Коннерс — две очаровательные мошенницы. Их жертвами стали уже множество мужчин. Суть мошенничества проста: Макс выходит замуж за состоятельного мужчину (в данном конкретном случае — предпринимателя Дина). Не откладывая в долгий ящик, уже наутро Пейдж оказывается с молодожёном (который ночью не получил удовлетворения от Макс) в весьма компрометирующих обстоятельствах. Разумеется, как бы случайно всю эту сцену застает свежеиспечённая супруга, Макс.
Секреты неистовой пятёрки	боевик комедия	7.1	"«Кунг-фу панда: Секреты неистовой пятёрки» (англ. Kung Fu Panda: Secrets of the Furious Five) — короткометражный анимационный фильм производства DreamWorks Animation, на основе мультфильма Кунг-фу панда. Короткометражка содержится в дополнительных материалах DVD-релиза Кунг-фу панда. Позже он был показан на телеканале NBC 26 февраля 2009 года, а с 24 марта 2009 года доступен, как отдельный DVD-диск.
Из фильма только Джек Блэк (По), Дастин Хоффман (Мастер Шифу), Сет Роген (Мастер Богомол), Дэвид Кросс (Мастер Журавль) и Рэндолл Дак Ким (Мастер Угвей) озвучивали своих персонажей в этой короткометражке. Анджелина Джоли, Люси Лью и Джеки Чан не участвовали в проекте, так как их персонажи изображены в младшем возрасте. Обезьяну озвучил Джейси Чан, сын Джеки Чана, также он озвучил Журавля в кантонской версии оригинального фильма.
Производство фильма было передано Reel FX Creative Studios, который работал над компьютерными анимациями, а также Film Roman, который работал над производством традиционных анимационных последовательностей."	Мастер Шифу назначает По преподавателем введения в кунг-фу для группы неугомонных маленьких кроликов. Тогда По начинает объяснять, что кунг-фу не только драка, но и мастерство своего характера. Чтобы проиллюстрировать свою мысль, он рассказывает истории «неистовой пятёрки», их индивидуальное прошлое и основные философские понятия. Кролики узнают, как стать великими мастерами кунг-фу.
Вчерашний расцвет	драматический фильм	6.5	«Вчерашний расцвет» (нем. Die Blumen von gestern) — немецко-австрийская комедия 2016 года режиссёра Криса Крауса. Главные роли исполнили Адель Анель и Ларс Айдингер. Мировая премьера состоялась 25 октября 2016 года на 50-м Международном фестивале Hof Film.	Герой занимается изучением событий Холокоста и готовится к участию в конгрессе. Ему назначена помощница — Зази, девушка еврейского происхождения с явно выраженной тевтофобией (навязчивый страх всего германского). Вместе им предстоит сделать ряд неожиданных открытий, которые в корне изменят жизнь героя.
Когда-нибудь (фильм, 2011)	фильмдрама	6.9	«Когда-нибудь» (яп. 大鹿村騒動記: о:сикамура соудоуки; англ. Someday) — японский фильм-драма, поставленный режиссёром Дзюндзи Сакамото в 2011 году. Ироничная и вместе с тем печальная история владельца закусочной и звезды местного театра кабуки Дзэна, который выходит из себя при посещении его бывшей женой Такако и другом детства Осаму, сбежавших вместе 18 лет назад. Фильм был детищем ведущего актёра японского кино 1970-х — начала 2000-х Ёсио Харады, который скончался в июле 2011 года вскоре после премьеры фильма в национальном прокате. Кинолента удостоена Гран-при 7-го кинофестиваля в Осаке, получила 8 номинаций на премию Японской киноакадемии, выиграв лишь в категории «Премия лучшему актёру 2011 года» — Ёсио Харада.	Расположенная в горной местности префектуры Нагано, деревня Осика славится тем, что здесь вот уже 300 лет чтут традиции любительского театра кабуки, ежегодно показывая спектакль, к которому местные жители готовятся в течение года. Главный герой Дзэн — владелец ресторана, в котором можно полакомиться олениной, он также является ведущим актёром театрального представления. Всё рушится в жизни Дзэна, когда незадолго до очередной премьеры спектакля, возвращается его бывшая жена Такако. Она сбежала от него 18 лет назад в Токио вместе с его старым другом Осаму. И вот теперь Такако повредилась рассудком, у неё амнезия, она всё время называет нынешнего супруга Дзэном, и Осаму уже более не зная, что с ней делать, привёз её назад к бывшему мужу.
Железная Обезьяна (фильм, 1977)	боевик	6.4	«Железная Обезьяна» — фильм с боевыми искусствами совместного производства Гонконга и Тайваня, в котором режиссёром и исполнителем главной роли выступил Чэнь Гуаньтай. Фильм рассказывает историю мести парня, семью которого казнили власти Цин.	Маньчжурский верховный командующий желает уничтожить всех бунтарей, так или иначе связанных с Шаолинем. Парень по прозвищу Железный не подозревает, что его отец является лидером повстанческого движения. Тайный маньчжурский агент Ху Энь, внедрившийся в окружение бунтарей, предаёт их лидера. Вся семья предводителя (кроме Железного) схвачена маньчжурами, и верховный командующий назначает их казнь на следующий день. Поскольку главарь движения в плену, верховный командующий хочет поймать и его сына.
Один день Ивана Денисовича (фильм, 1970)	драма	7.1	"«Оди́н день Ива́на Дени́совича» (англ. One Day in the Life of Ivan Denisovich, норв. En dag i Ivan Denisovitsj' liv) — кинофильм, экранизация одноимённой повести Александра Солженицына.
Фильм вышел в прокат в Швеции в 1970 году, в США в 1971 году."	Сюжет фильма повторяет сюжет повести Солженицына. Действие происходит в 1951 году. Рассказывается об одном дне лагерной жизни «самого рядового советского лагерника, самого среднего солдата ГУЛАГа, того, на кого всё сыпется», — русского крестьянина и солдата Ивана Шухова. Следование распорядку дня заключённых, осуждённых, в основном, по 58-й статье Уголовного кодекса РСФСР, — от подъёма до отбоя — позволило создать обобщённую картину существования в суровых условиях исправительного-трудового лагеря в северном Казахстане представителей разных слоёв общества от бывших функционеров Коммунистической партии, командиров Красной армии и интеллигентов до простых работяг и рядовых бойцов.
Замри — умри — воскресни!	драма	7.6	"«Замри — умри — воскресни!» — советский художественный полнометражный чёрно-белый драматический фильм, поставленный на Киностудии «Ленфильм» в 1989 году режиссёром Виталием Каневским. Премьера фильма в СССР состоялась в августе 1990 года.
Фильм повествует о жителях небольшого шахтёрского городка в первые послевоенные годы. Продолжением этого фильма является «Самостоятельная жизнь», снятая тем же режиссёром и автором сценария с теми же актёрами в главных ролях."	События киноповести происходят в 1947 году в небольшом забытом Богом шахтёрском городке Сучане, напоминающем арестантскую зону. Подростки Валерка и Галия живут в одном бараке: они одновременно и дружат, и ссорятся, и соперничают друг с другом. Увидев, что в мороз Галия продаёт на местной толкучке «чай» (горячий кипяток) в кружках, Валерка начинает делать так же, при этом кричит, что у него вода взята из родника, а у девочки из ржавой колонки. На заработанные деньги Валерка покупает коньки, которые в первый же день с него срезают другие ребята. Галия помогает ему найти вора и забрать коньки обратно.
Пригнись и накройся	образовательный	6.0	«Пригнись и накройся» (англ. Duck and Cover) — американский образовательный фильм 1952 года о гражданской обороне, снятый по заказу Федерального правительства США. Часто ошибочно характеризуется как «пропагандистский фильм». Находится в общественном достоянии в США, внесён в Национальный реестр фильмов (в 2004 году). Ни один человек, принимавший участие в создании фильма, в титрах не упомянут.	Мультипликационная черепаха Берт — очень осторожное существо, и на его примере рассказчик показывает детям, как вести себя при ядерном взрыве, где бы они ни находились. Нужно зайти в бомбоубежище или просто лечь на пол или землю и обхватить голову руками.
Смерть в эфире	драма	5.8	«Смерть в эфи́ре» (англ. Live!) — американская драма 2007 года режиссёра Билла Гуттентага с Евой Мендес, Дэвидом Крамхолцем и Эриком Лайвли.	Одна из телекомпаний, рейтинги которой падают с каждым днем, решает запустить в прямой эфир в прайм-тайм новое ТВ-шоу, участники которого, рискуя собственной жизнью, играют в русскую рулетку за 5 миллионов долларов.
Быть лишним	криминальнопсихологическая драма	6.8	«Быть лишним» (латыш. «Liekam būt») — художественный фильм режиссёра Алоиза Бренча. Снят по сценарию Андриса Колбергса — по мотивам одноимённой повести — на Рижской киностудии в 1976 году.	Волдемар Витерс вышел на волю, отсидев семилетний срок. Первое время приходится жить вместе с сестрой и её мужем. Старая компания распалась. Тексис и Бомис по-прежнему промышляют преступным промыслом, но близкий друг Арнис и бывший компаньон Петак вернулись к нормальной жизни. Находясь на распутье, Витерс всё больше склоняется к тому, чтобы забыть своё криминальное прошлое, жениться на Ирене и пойти учеником реставратора в столярную мастерскую, куда его рекомендовал участковый инспектор.
Двенадцать подвигов Астерикса	историческая комедия	7.6	«Двенадцать подвигов Астерикса» (фр. Les Douze Travaux d’Astérix) — французский полнометражный анимационный фильм, являющийся экранизацией серии комиксов про Астерикса и Обеликса.	50 год до нашей эры. Галлия, как и всегда, под контролем римлян, но одна деревня в Арморике (полуостров Бретань, нынешний северо-запад Франции) успешно отбивает нападения римских легионов. После одного такого нападения римляне задаются вопросом, не боги ли им противостоят, ведь другого объяснения не находится. Гай Юлий Цезарь на встрече с вождём галлов Жизнестатистиксом предлагает сделку — он даст 12 заданий галлам, которые не по силам смертным, но по силам богам, и если они справятся со всеми из них, тогда римляне оставят галлов в покое. На выполнение подвигов отправляются Астерикс и Обеликс.
Скорбь (фильм)	драма	6.9	«Скорбь» (англ. Affliction) — американский художественный фильм, драма режиссёра Пола Шредера, вышедшая в 1997 году. Экранизация одноимённого романа писателя Рассела Бэнкса. В главных ролях задействованы Ник Нолти и Сисси Спейсек, во второстепенной роли отца-алкоголика Глена Уайтхауса — Джеймс Коберн, получивший за неё премию «Оскар».	45-летний полицейский Уэйд Уайтхаус (Ник Нолти) работает в небольшом городе Лоуфорд штата Нью-Гэмпшир. Внезапная смерть матери вводит его в депрессию, его отец-алкоголик Глен (Джеймс Коберн) начинает пить ещё больше, когда приходит эта новость. Любовница Уэйда Марджи (Сисси Спейсек) поддерживает его, но странный несчастный случай, в который был впутан и Уэйд, полностью разрушает пресную жизнь маленького городка...
Регина (фильм, 1990)	драматический фильм	6.4	«Регина» — советский фильм 1990 года снятый на киностудии «Таллинфильм» режиссёром Кальё Кийском по роману Эме Беэкман «Возможность выбора»	Регина — красивая, образованная, но все еще незамужняя женщина лет 30-ти. Её бросает парень, решивший жениться на молодой беременной девушке. В это время Регина наследует от своей тёти дом в небольшом городке, она решает изменить жизнь, переезжает из столицы в городок и начинает работать учителем. Соседка Герта предлагает ей в качестве помощника по саду и ремонту Анцу, человека с золотыми руками, который также приходил на помощь тёте Регины. Регина же хочет создать семью, во что бы то ни стало.
Любовь и прочие неприятности	комедия мелодрама	5.6	«Любовь и прочие неприятности» (англ. Failure to Launch) — американская романтическая комедия 2006 года с Сарой Джессикой Паркер и Мэттью Макконахи в главных ролях.	Несмотря на свои 30 с лишним лет, Трипп никак не решается покинуть отчий дом и обзавестись собственным семейным гнездышком. На это у него всякий раз находятся веские, по его мнению, причины. Но однажды родители Триппа сами взялись за устройство его судьбы. Они наняли Полу, которая поможет Триппу обрести уверенность в себе и перейти к отношениям длительного характера. Познакомившись с клиентом лично, Пола убеждается, что Трипп не слишком нуждается в её услугах: он привлекателен, вовсе не робок с женщинами, имеет хорошую работу.
Шпион, выйди вон! (фильм)	детективный триллер	7.0	"«Шпио́н, вы́йди вон!» (англ. Tinker Tailor Soldier Spy; дословно — «Лудильщик, портной, солдат, шпион», детская считалка) — детективный триллер Томаса Альфредсона по одноимённому роману Джона Ле Карре, который был ранее экранизирован Би-би-си в виде телевизионного мини-сериала с Алеком Гиннессом в главной роли (1979).
Действие фильма происходит в 1970-х годах, в самый разгар Холодной войны. Гэри Олдмен играет Джорджа Смайли, агента, пытающегося разоблачить советского шпиона, засевшего в верхушке МИ-6.
Премьера картины в Великобритании прошла 16 сентября 2011 года, в России прошла 8 декабря 2011 года. Фильм посвящён памяти сценаристки Бриджет О’Коннор."	В 1973 году глава британской разведки МИ-6 («Цирк»), условно именуемый «Хозяином», отправляет агента Джима Придо в Венгрию, чтобы тот встретился с венгерским генералом, желающим продать информацию. Встречу срывают агенты советской разведки, а Придо стреляют в спину. Инцидент влечёт за собой международный конфликт, в результате которого «Хозяин» и его правая рука Джордж Смайли вынуждены уйти в отставку, а вскоре после этого тяжело больной «Хозяин» умирает. Новым главой «Цирка» становится Перси Аллеллайн, Билл Хейдон — заместителем главы, а Рой Блэнд и Тоби Эстерхази — его ближайшими союзниками. Ещё в период руководства «Хозяина» Аллелайн сообщал об информаторе в верхушке советской разведки, который передаёт ему засекреченные данные, условно названные «Чёрной магией».
Мужчины не уходят	мелодрама	6.6	«Мужчины не уходят» (англ. Men Don't Leave) — ремейк французского кинофильма «Жизнь продолжается» (фр. La Vie Continue). Премьера фильма в США состоялась 2 февраля 1990 года.	После смерти мужа Бет Маколей (Джессика Лэнг) продаёт свой дом и переезжает в более дешёвое жилье, в Балтимор со своими сыновьями Крисом (О’Доннелл) и Мэттом (Корсмо). Она заводит отношения с музыкантом по имени Чарльз (Ховард). Унаследовав от супруга долги в 63 000 долларов, Бет вынуждена устроиться на работу в маленький ресторан и при этом заниматься своими сыновьями. Жизнь постоянно испытывает на прочность Бет, Криса и Мэтта, но с помощью друзей у семьи появляется шанс на светлое будущее.
Любовь Астреи и Селадона	комедийная драма	6.3	"«Любовь Астреи и Селадона» (фр. Les Amours d'Astrée et de Céladon) — последний фильм французского режиссёра Эрика Ромера. Снят в 2007 году по пасторальному роману «Астрея». Посвящён памяти режиссёра Пьера Зукка.
Премьера прошла в конкурсной программе Венецианского кинофестиваля 2007 года. Актёр Энди Жиллет за воплощение образа пастуха Селадона получил «Золотую звезду» французских киножурналистов."	Действие фильма происходит в Галлии V века, вдали от римской цивилизации. Из долины Форе оно перенесено в другое место за невозможностью передать аутентичность происходящего в изменённом современной урбанизацией пейзаже. Персонажи пасторали изображены такими, как их представляли себе читатели XVII века. Безумно влюблённые друг в друга пастух Селадон и пастушка Астрея вынуждены таиться по причине давней вражды их семей. По совету Астреи Селадон делает вид, что его сердце принадлежит другой девушке.
Доморощенный	комедия боевик	5.7	«Доморощенный» (англ. Homegrown) — американская комедия 1998 года.	Три парня выращивают марихуану. Их босс погибает, и им приходится выкручиваться самим. Они пытаются держать бизнес на плаву, держа его смерть в секрете. Но когда за ними начинают охотиться и мафия, и полиция, им мало не покажется.
Страна обетованная	драма	6.6	«Земля обетованная» (англ. Promised Land) — драма режиссёра Гаса Ван Сента, снятая в 2012 году по сценарию Мэтта Деймона и Джона Красински, основанному на одноимённом романе Дейва Эггерса. Действие картины разворачивается вокруг двух корпоративных продавцов, пытающихся купить согласие на бурение газовых скважин у жителей небольшого американского городка. Международная премьера фильма состоялась в феврале 2013 года на 63-м Берлинском международном кинофестивале.	Стив Батлер (Мэтт Дэймон) — успешный агент компании Global Solutions Crosspower, являющейся крупным игроком на энергетическом рынке Америки. Компания специализируется на добыче природного газа методом гидравлического разрыва пласта. У Батлера хороший послужной список, он умеет быстро и дёшево убедить владельцев земли подписать права аренды на ископаемые, что позволяет компании начинать процесс бурения. Вместе с напарницей Сью Томасон (Фрэнсис Макдорманд) Батлер отправляется в экономически неблагополучный городок в Пенсильвании с целью добиться согласия местных жителей на бурение. Батлер является выходцем из такого же небольшого городка в Айове, его жизнь была похожа на жизнь тех людей, которых он должен уговорить подписать договора в пользу Global.
